name,description,image,price
Chicken Biryani,"A flavorful rice dish made with long-grain basmati rice, tender chicken pieces, aromatic spices, and herbs, cooked to perfection.",https://vismaifood.com/storage/app/uploads/public/914/f47/fa9/thumb__700_0_0_0_auto.jpg,250
Chicken Fried Rice,"A delicious Indo-Chinese dish made with cooked rice, stir-fried with chicken pieces, mixed vegetables, and flavored with soy sauce and spices.",https://www.kannammacooks.com/wp-content/uploads/street-style-chicken-rice-recipe-1-3.jpg,180
Chicken Tandoori,"Tender chicken marinated in a blend of yogurt and spices, then roasted or grilled to perfection, resulting in a smoky and flavorful dish.",https://www.allrecipes.com/thmb/ygY1JXP8_IkDSjPPW5VH2dTiMMU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/50347-indian-tandoori-chicken-DDMFS-4x3-3035-205e98c80b2f4275b5bd010c396d9149.jpg,300
Chicken Noodles,"Stir-fried noodles tossed with tender pieces of chicken, mixed vegetables, and an array of sauces and spices, creating a flavorful and satisfying meal.",https://sinfullyspicy.com/wp-content/uploads/2023/01/1200-by-1200-images-5.jpg,200
Chicken 65,"A spicy and tangy South Indian appetizer made with bite-sized pieces of chicken marinated in a fiery blend of spices and deep-fried until crispy.",https://paattiskitchen.com/wp-content/uploads/2023/05/kmc_20230501_131310.jpg,220
Pepper Chicken,"A spicy and flavorful dish made with succulent chicken pieces sautéed with black pepper, onions, curry leaves, and a mix of aromatic spices.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiTAiQvZNqrcSozJHJ7TNBugpADhWy8sJFDBNQ3CSoGh_F2eo1d4CTZRb-aMvCvuaPhmWzu3IM2zIQy-rTwsOPFUo-xZdt0LOK21frE-WfBrxiQ3KfPjCSXtzBxqZCLQo2ajH4SV6f83JHJ-gVwsr4UVbI3dqHuT01SdRI1pO5sfNrBs1hZM2Z3d-wB2g/w1200-h630-p-k-no-nu/Pepper_Chicken_Dry.jpg,270
Chilli Chicken,"A popular Indo-Chinese dish made with batter-fried chicken pieces tossed in a spicy and tangy sauce along with bell peppers, onions, and green chilies.","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=1080/assets/search/usecase/boneless_chilli_chicken_zdish.png",250
Grilled Chicken,"Tender chicken marinated in a flavorful blend of spices and herbs, then grilled to perfection, resulting in juicy and succulent grilled chicken.",https://www.spiceindiaonline.com/wp-content/uploads/2021/05/Tandoori-Chicken-20.jpg,280
Mutton Biryani,"A fragrant rice dish made with long-grain basmati rice and tender pieces of mutton, cooked with a blend of aromatic spices and herbs, resulting in a rich and flavorful biryani.",https://www.licious.in/blog/wp-content/uploads/2022/06/mutton-hyderabadi-biryani-01.jpg,320
Mutton Curry,"Tender pieces of mutton cooked in a spicy and flavorful curry made with onions, tomatoes, yogurt, and a blend of traditional spices, best enjoyed with steamed rice or roti.",https://c.ndtvimg.com/2023-01/oqp7e4cg_mutton-curry_625x300_21_January_23.jpg,350
Mutton Pepper Fry,"Juicy mutton pieces marinated in a fiery blend of black pepper, ginger, garlic, and other spices, sautéed until tender and crispy, making it a perfect appetizer or side dish.",https://www.yummytummyaarthi.com/wp-content/uploads/2016/05/1-16.jpg,380
Mutton Rogan Josh,"A rich and aromatic Kashmiri dish made with tender mutton pieces cooked in a flavorful gravy made with yogurt, onions, tomatoes, and a blend of traditional spices.",https://picturetherecipe.com/wp-content/uploads/2020/01/Rogan-Josh-2-PictureTheRecipe.jpg,400
Fish Manchurian,"Deep-fried fish balls cooked in a tangy and spicy Manchurian sauce made with soy sauce, garlic, ginger, and green chilies, served as a popular Indo-Chinese appetizer.",https://i.ytimg.com/vi/dq4iAPYWmeo/maxresdefault.jpg,270
Prawn Hakka Noodles,"Stir-fried noodles tossed with juicy prawns, mixed vegetables, and a blend of sauces and spices, creating a delightful and satisfying Indo-Chinese meal.",https://img-global.cpcdn.com/recipes/ec740968f3c6bab8/1200x630cq70/photo.jpg,320
Chilli Fish,"Crispy fish pieces tossed in a spicy and tangy sauce made with bell peppers, onions, garlic, and green chilies, creating a mouthwatering Indo-Chinese seafood dish.",https://www.licious.in/blog/wp-content/uploads/2020/12/Chilli-Fish.jpg,290
Fish Curry,"Fresh fish pieces cooked in a flavorful and aromatic curry made with coconut milk, tomatoes, onions, and a blend of traditional spices, best enjoyed with steamed rice.",https://vismaifood.com/storage/app/uploads/public/daa/96d/7bc/thumb__1200_0_0_0_auto.jpg,300
Fish Fry,"Fresh fish marinated in a blend of spices and herbs, then deep-fried until crispy and golden brown, resulting in a delicious and satisfying seafood dish.",https://www.kannammacooks.com/wp-content/uploads/masala-fish-fry-recipe-ayala-meen-Mackerel-fry-8.jpg,280
,,,